Id,SalePrice_est
1461,118607.79723585323
1462,155269.7566508959
1463,179572.32134797925
1464,186081.8888264509
1465,200568.36942565895
1466,171354.17706096463
1467,181975.83005680208
1468,160703.67900312576
1469,210530.34891893543
1470,111733.68912810084
1471,184106.87307669848
1472,93163.0415871552
1473,90517.6106950151
1474,141469.40530530765
1475,102220.133085226
1476,365637.2852667651
1477,243276.78305379843
1478,317328.2155357168
1479,305839.6279826268
1480,470007.51437750517
1481,310086.5240775424
1482,214207.3117995988
1483,177970.34377111655
1484,156096.15279154206
1485,186257.81832564704
1486,198714.69536482808
1487,331656.7161494293
1488,233912.97999944916
1489,184731.82722647046
1490,255100.92058670195
1491,195540.54797660172
1492,89959.76130617141
1493,202254.7544067733
1494,299244.82116720395
1495,293715.90967125806
1496,245121.64517803624
1497,182539.7385569396
1498,155834.40205319697
1499,155365.11730806838
1500,148648.06719745317
1501,188167.09485809485
1502,147351.95684851633
1503,268319.26608793024
1504,234935.09354317206
1505,222457.69259715377
1506,191845.60664146574
1507,253731.414764322
1508,196444.23172063963
1509,160717.25551315176
1510,140445.5986541226
1511,146922.07356677897
1512,181530.21661956055
1513,159238.57313718996
1514,157887.90644614102
1515,205326.29750298487
1516,159093.58515514404
1517,178351.11071608844
1518,125344.29823930825
1519,216757.44821876823
1520,122631.6087140023
1521,127314.03081851675
1522,189065.97313810483
1523,103282.45089181131
1524,118356.92912610246
1525,113039.280166095
1526,102449.45950322098
1527,91481.26606393555
1528,142491.6630919032
1529,153425.76657020306
1530,204635.63350974995
1531,121748.26340867468
1532,107121.68736434772
1533,161310.601171127
1534,126862.8511204859
1535,165548.1493878553
1536,103910.29352212473
1537,44853.52276685389
1538,161620.53565525272
1539,204741.34302194515
1540,127567.49571659621
1541,130460.4876083109
1542,158220.1783655864
1543,192745.02492690875
1544,91251.0845809713
1545,129599.28454520692
1546,136018.18965240582
1547,138334.56126165166
1548,149102.5187050379
1549,122048.97414573471
1550,142485.69818498663
1551,121109.5927717587
1552,147551.8600147528
1553,156449.58165709447
1554,123494.44965474581
1555,164134.20806251973
1556,73267.1945716755
1557,106325.62532822939
1558,96321.57080055749
1559,94505.0296045857
1560,135514.04584048
1561,127022.5439977772
1562,123007.25084910548
1563,117987.94281999365
1564,153710.01524629083
1565,150287.51142402313
1566,245142.08906616137
1567,69270.59185884755
1568,220545.35981996811
1569,121278.88974314847
1570,133769.90515568468
1571,98031.68215685556
1572,147120.97639276803
1573,247051.28654015256
1574,128425.63204979934
1575,238719.75418896036
1576,231303.10695122066
1577,177077.88244214212
1578,135331.9220779097
1579,140791.69859006692
1580,191439.57888872176
1581,154401.2796721031
1582,131575.39342807626
1583,274115.6718765815
1584,224579.33990356972
1585,141559.78419189775
1586,47933.1995230859
1587,105170.3995860838
1588,172378.23332073924
1589,107431.59780828818
1590,133035.4588351563
1591,90791.8355697705
1592,119258.72147240324
1593,123224.08868939843
1594,150097.59113400776
1595,120112.5688627398
1596,231254.31698397035
1597,190552.45488287383
1598,209960.5440033534
1599,193868.9872941684
1600,167245.48947445766
1601,45785.25569972905
1602,116721.56610218443
1603,83177.5661965781
1604,299410.2139943944
1605,232884.09490399057
1606,160428.1132519915
1607,167173.67311560438
1608,199696.1513936295
1609,175188.99937393834
1610,148295.39997764217
1611,127778.54882457278
1612,195873.8354307711
1613,160708.51114071184
1614,146594.7653603224
1615,90566.5824286543
1616,72855.80842832185
1617,87504.60394913227
1618,118003.18705204315
1619,143421.1199361391
1620,163594.69906540052
1621,134497.3305927538
1622,143342.51421891784
1623,267024.0124024288
1624,210446.09291185223
1625,110366.53650028567
1626,172082.20375159543
1627,187980.86765094422
1628,288208.2846529096
1629,174843.2780360221
1630,347800.9319527353
1631,224464.552650346
1632,237854.82559386722
1633,177038.56483553819
1634,187159.86758907232
1635,174141.56153575057
1636,148586.95980059338
1637,194527.4655396654
1638,199492.65277071216
1639,182975.50250305998
1640,249873.85733702616
1641,180792.61714757417
1642,252950.18974975898
1643,223329.75046787472
1644,227205.2183593571
1645,217771.88421853163
1646,152752.2736891722
1647,156112.57819291542
1648,125851.60463373706
1649,127557.47245591533
1650,117875.1490452088
1651,117276.68651450812
1652,95064.88439201418
1653,97443.14035030096
1654,141079.13377205367
1655,127163.26519811206
1656,131173.23717637354
1657,142080.44330755237
1658,140383.83691956283
1659,113918.66009392109
1660,144495.43452642596
1661,432325.4894767541
