PassengerId,Survived_pred,Probability
892,0,0.054395736333644605
893,0,0.4202319329381052
894,0,0.4131553294069088
895,0,0.2323714705220433
896,0,0.4215927526489746
897,0,0.1116767536460008
898,0,0.4612400614897633
899,0,0.03342894881596393
900,1,0.9140732384980725
901,0,0.05304245961907886
902,0,0.04010511617898055
903,0,0.09465451496551597
904,1,0.9519622190908972
905,0,0.158188275792593
906,1,0.9923435624470788
907,1,0.9017762532189681
908,0,0.05535254283731687
909,0,0.48309222871970803
910,0,0.45650833451057765
911,1,0.6780008559284253
912,0,0.2736008626638033
913,0,0.16039009258394818
914,1,0.9691444260652431
915,0,0.15380425834911662
916,1,0.9578004206359775
917,0,0.04828477279724573
918,1,0.9846929074130305
919,0,0.48309222871970803
920,1,0.563943557205258
921,0,0.14569457874799754
922,0,0.06172067227620348
923,0,0.0705104889228145
924,1,0.7191519292145249
925,0,0.06910930692537792
926,0,0.2753089109460452
927,0,0.22583099058335823
928,0,0.1502728798007656
929,0,0.128820630336622
930,0,0.07807732193643598
931,0,0.4107543814966914
932,0,0.05793940453835975
933,0,0.4154412753998533
934,0,0.07421549364025756
935,1,0.9681775933077551
936,1,0.9940568932625444
937,0,0.15951007006003104
938,0,0.14083748565809243
939,0,0.1384183402665767
940,1,0.9856103807733414
941,1,0.7655644958751584
942,0,0.04336579865140291
943,0,0.22121666669829035
944,1,0.9618275493375263
945,1,0.9550298934388926
946,0,0.11604103398520381
947,0,0.025096243183497603
948,0,0.04703058596865913
949,0,0.07667923911650527
950,0,0.08779926054387267
951,1,0.9844876817712853
952,0,0.04562620814656571
953,0,0.31718250133403847
954,0,0.07403477830802434
955,1,0.8861043603556615
956,0,0.2244253793246961
957,1,0.9005515257978118
958,1,0.6166296429915298
959,0,0.04343286468436571
960,0,0.14791552383350273
961,1,0.8916226520473135
962,1,0.650801322404485
963,0,0.034700712210896996
964,1,0.5042416805049038
965,0,0.21454169179499544
966,1,0.9844876817712853
967,0,0.30216163159143195
968,0,0.07907200762971556
969,1,0.9732559167722853
970,0,0.10939302221999156
971,1,0.650801322404485
972,1,0.9033435218634874
973,0,0.05130752466099581
974,0,0.207036833762596
975,0,0.04010511617898055
976,0,0.11562520030492048
977,0,0.06225260999788321
978,1,0.9403392529603957
979,0,0.29343008397417303
980,1,0.7680474101301815
981,1,0.9735926788854987
982,0,0.3258177644724961
983,0,0.20040914858634476
984,1,0.8515127817548881
985,0,0.07907200762971556
986,0,0.3727580605308746
987,0,0.25560663415437546
988,1,0.9696293601914928
989,0,0.20343524806886715
990,0,0.30643829927308913
991,0,0.07537256266492848
992,1,0.9930950193320084
993,0,0.09577321041202004
994,0,0.1384183402665767
995,0,0.3229669690600782
996,0,0.4789770740236199
997,0,0.0969881091252946
998,0,0.09736077553091023
999,0,0.1384183402665767
1000,0,0.08476691283115062
1001,0,0.08035306539796737
1002,0,0.07596029427431067
1003,1,0.773544419050594
1004,1,0.975564027129948
1005,1,0.7126204415329896
1006,1,0.9896912070279394
1007,0,0.107693216387991
1008,0,0.028747070970292117
1009,1,0.9221430776903236
1010,1,0.6063434131890744
1011,1,0.9716127592173365
1012,1,0.937457050249264
1013,0,0.13054566352060903
1014,1,0.9883934132944728
1015,0,0.0547267215507894
1016,0,0.1384183402665767
1017,1,0.7024115265577441
1018,0,0.21433609033040862
1019,1,0.9398978091816755
1020,0,0.1669461002227144
1021,0,0.08023568693370568
1022,0,0.40124461385927124
1023,0,0.0977183073079934
1024,0,0.03136717198490412
1025,0,0.028747070970292117
1026,0,0.04703058596865913
1027,0,0.07618805388552523
1028,0,0.41107903939374085
1029,0,0.11283077577902488
1030,0,0.182940170707392
1031,0,0.012673584147877438
1032,0,0.030281910603792338
1033,1,0.9827075754948484
1034,1,0.5142578808729924
1035,0,0.10023405896393436
1036,1,0.6008483116194994
1037,0,0.08747147635798738
1038,0,0.08273452982846753
1039,0,0.08023568693370568
1040,0,0.4154412753998533
1041,0,0.05616833521643957
1042,1,0.9737072491254478
1043,0,0.07701619517234896
1044,0,0.0427563898842924
1045,1,0.5898859491253556
1046,0,0.07470774374837294
1047,0,0.061896330377274766
1048,1,0.9780414900140901
1049,0,0.3474941170564471
1050,1,0.6008483116194994
1051,1,0.6703307963908468
1052,1,0.9023472219056268
1053,1,0.7515067443441248
1054,1,0.8634493506868404
1055,0,0.16095833150588143
1056,0,0.12304969992744019
1057,0,0.49810997193110135
1058,0,0.2255846872735982
1059,0,0.058994065188309894
1060,1,0.9315121337859891
1061,0,0.23194321530487627
1062,0,0.0547267215507894
1063,1,0.5276681489847342
1064,0,0.20438053083419808
1065,0,0.09007695466257558
1066,0,0.04174832688549765
1067,1,0.9597323312204554
1068,1,0.9404604263082038
1069,0,0.3172586369748935
1070,1,0.974530879718212
1071,1,0.9665243080510967
1072,0,0.10939302221999156
1073,0,0.24806392419150944
1074,1,0.9723928584612135
1075,0,0.1384183402665767
1076,1,0.6629648357527668
1077,0,0.11033138177705969
1078,1,0.8225108149837532
1079,0,0.15178898774470068
1080,0,0.03969347550045218
1081,0,0.12304969992744019
1082,0,0.10119744331901932
1083,0,0.11657334617381723
1084,1,0.5830725061327904
1085,0,0.03904383832386749
1086,1,0.6556251616700568
1087,0,0.07421549364025756
1088,1,0.9536820768867005
1089,0,0.29720320306534914
1090,0,0.0817028566735343
1091,1,0.5017372663867573
1092,1,0.8794848168788961
1093,1,0.9420173474117008
1094,0,0.1408642586748862
1095,1,0.9533879937571532
1096,0,0.10070839493633552
1097,0,0.13386215597973455
1098,1,0.7672772113288474
1099,0,0.0817028566735343
1100,1,0.9469993302576781
1101,0,0.04328811729178071
1102,0,0.34081610617187574
1103,0,0.03074213705932135
1104,0,0.041788832334856744
1105,1,0.954262370620417
1106,0,0.21877148249638528
1107,0,0.08778174950041488
1108,1,0.773544419050594
1109,0,0.0806557981106036
1110,1,0.9600896068432264
1111,0,0.07907200762971556
1112,1,0.966399555681226
1113,0,0.08023568693370568
1114,1,0.9121065262061563
1115,0,0.21433609033040862
1116,1,0.8262209439882585
1117,0,0.337780624111182
1118,0,0.21433609033040862
1119,1,0.7680474101301815
1120,0,0.06852953557225543
1121,0,0.12304969992744019
1122,0,0.041788832334856744
1123,1,0.9395722785786275
1124,0,0.08100035948977295
1125,0,0.08818331841985688
1126,0,0.15486723319945364
1127,0,0.053196471535718264
1128,1,0.7821593211765832
1129,0,0.4465532272815178
1130,1,0.8503059370066249
1131,1,0.9716256303154147
1132,1,0.8262209439882585
1133,1,0.9840980388864838
1134,0,0.42165879351347246
1135,0,0.04010511617898055
1136,0,0.04601856980296096
1137,0,0.10404636617757637
1138,1,0.8218850226188273
1139,0,0.062012502221190285
1140,1,0.9716127592173365
1141,0,0.18413014846109962
1142,1,0.8446210346113228
1143,0,0.4048096019998781
1144,0,0.2564816992081781
1145,0,0.06304328183459731
1146,0,0.1076096337204163
1147,0,0.0547267215507894
1148,0,0.1384183402665767
1149,0,0.07907200762971556
1150,1,0.8330562718125375
1151,0,0.1773949991891666
1152,0,0.10117626892784376
1153,0,0.07618805388552523
1154,1,0.9797041389524705
